503.75,720
460,725
442.5,761.25
472.5,795
511.25,787.5
496.25,823.75
456.25,828.75
532.5,820
220,657.5
282.5,620
311.25,652.5
295,685
260,691.25
255,592.5
215,592.5
200,625
576.25,813.75
555,783.75
597.5,777.5
612.5,743.75
572.5,748.75
543.75,716.25
631.25,711.25
586.25,713.75
520,687.5
598.75,681.25
558.75,685
473.75,695
613.75,652.5
585,626.25
542.5,622.5
486.25,663.75
501.25,625
527.5,650
570,653.75
433.75,691.25
463.75,631.25
448.75,660
437.5,600
420,726.25
425,580
390,538.75
413.75,515
423.75,481.25
428.75,447.5
465,447.5
500,450
406.25,765
428.75,797.5
420,830
382.5,833.75
343.75,840
393.75,801.25
281.25,820
242.5,826.25
206.25,831.25
166.25,831.25
127.5,837.5
105,798.75
108.75,772.5
118.75,732.5
103.75,703.75
116.25,670
142.5,773.75
142.5,802.5
128.75,640
141.25,602.5
117.5,563.75
135,527.5
111.25,498.75
176.25,593.75
162.5,632.5
157.5,561.25
123.75,470
102.5,446.25
178.75,802.5
116.25,410
131.25,370
110,335
122.5,297.5
163.75,290
187.5,322.5
145,328.75
171.25,360
153.75,398.75
172.5,428.75
198.75,453.75
137.5,432.5
235,451.25
271.25,446.25
163.75,458.75
152.5,491.25
312.5,447.5
350,443.75
391.25,448.75
381.25,475
368.75,502.5
350,540
376.25,573.75
197.5,558.75
175,523.75
187.5,486.25
231.25,555
213.75,522.5
223.75,482.5
270,556.25
311.25,545
297.5,582.5
327.5,616.25
347.5,647.5
345,623.75
361.25,607.5
335,580
326.25,511.25
286.25,513.75
263.75,481.25
248.75,516.25
297.5,476.25
185,665
151.25,663.75
137.5,698.75
157.5,732.5
171.25,698.75
186.25,765
215,798.75
256.25,787.5
227.5,762.5
268.75,751.25
240,722.5
200,725
203.75,697.5
228.75,692.5
280,717.5
305,743.75
291.25,777.5
318.75,812.5
356.25,811.25
397.5,605
426.25,635
390,636.25
408.75,663.75
372.5,671.25
390,697.5
381.25,737.5
368.75,772.5
330,777.5
341.25,745
312.5,713.75
353.75,708.75
330,683.75
556.25,497.5
605,470
275,201.25
292.5,160
306.25,122.5
536.25,457.5
575,440
615,431.25
640,463.75
596.25,500
422.5,246.25
430,242.5
440,211.25
458.75,181.25
427.5,180
410,212.5
396.25,232.5
358.75,235
333.75,236.25
348.75,190
312.5,196.25
330,155
371.25,155
388.75,177.5
372.5,198.75
406.25,145
385,112.5
343.75,115
298.75,235
420,110
438.75,142.5
451.25,111.25
470,146.25
470,241.25
496.25,273.75
461.25,273.75
596.25,293.75
620,322.5
556.25,303.75
520,306.25
483.75,307.5
470,341.25
506.25,346.25
538.75,345
580,332.5
603.75,361.25
627.5,393.75
587.5,401.25
548.75,416.25
513.75,418.75
477.5,417.5
437.5,413.75
450,378.75
486.25,385
521.25,382.5
562.5,372.5
405,120
437.5,120
425,152.5
383.75,161.25
368.75,123.75
382.5,86.25
417.5,85
451.25,76.25
491.25,87.5
475,122.5
458.75,156.25
440,188.75
473.75,187.5
467.5,222.5
431.25,218.75
395,220
410,186.25
366.25,198.75
381.25,245
348.75,237.5
317.5,241.25
327.5,202.5
295,211.25
311.25,166.25
345,160
332.5,128.75
343.75,93.75
305,93.75
291.25,132.5
273.75,173.75
255,212.5
281.25,248.75
301.25,282.5
332.5,280
366.25,277.5
410,276.25
447.5,281.25
460,246.25
493.75,250
485,283.75
521.25,286.25
551.25,280
530,253.75
503.75,215
511.25,193.75
525,162.5
493.75,160
506.25,127.5
281.25,487.5
326.25,486.25
307.5,522.5
660,846.25
648.75,883.75
606.25,891.25
570,891.25
577.5,858.75
538.75,895
497.5,901.25
453.75,901.25
412.5,907.5
377.5,911.25
338.75,918.75
297.5,920
271.25,891.25
228.75,902.5
188.75,901.25
146.25,916.25
103.75,923.75
85,897.5
57.5,877.5
30,850
43.75,818.75
20,792.5
38.75,760
52.5,727.5
30,698.75
43.75,666.25
55,626.25
68.75,590
46.25,565
58.75,526.25
37.5,496.25
53.75,457.5
35,423.75
47.5,390
58.75,350
37.5,318.75
55,283.75
30,256.25
46.25,221.25
25,190
41.25,152.5
61.25,107.5
41.25,75
77.5,65
80,26.25
52.5,32.5
112.5,73.75
132.5,48.75
143.75,51.25
180,42.5
136.25,95
95,106.25
216.25,36.25
88.75,42.5
202.5,77.5
168.75,82.5
153.75,127.5
115,131.25
78.75,145
281.25,52.5
241.25,72.5
317.5,52.5
352.5,52.5
391.25,46.25
430,45
463.75,48.75
497.5,56.25
537.5,50
578.75,35
618.75,28.75
636.25,53.75
647.5,87.5
665,117.5
686.25,153.75
676.25,200
696.25,237.5
678.75,267.5
700,293.75
683.75,326.25
711.25,357.5
688.75,391.25
710,430
706.25,466.25
695,497.5
677.5,542.5
667.5,593.75
692.5,627.5
680,657.5
705,687.5
696.25,722.5
680,752.5
701.25,781.25
685,813.75
487.5,635
446.25,647.5
473.75,675
516.25,668.75
280,695
241.25,702.5
232.5,667.5
266.25,637.5
260,665
168.75,406.25
391.25,775
418.75,808.75
427.5,771.25
62.5,182.5
85,215
66.25,250
85,285
72.5,316.25
91.25,345
81.25,385
66.25,422.5
87.5,453.75
73.75,490
96.25,513.75
81.25,550
105,581.25
91.25,623.75
77.5,657.5
65,693.75
80,721.25
68.75,752.5
63.75,788.75
87.5,813.75
71.25,846.25
105,863.75
127.5,882.5
165,873.75
210,868.75
250,863.75
283.75,858.75
303.75,845
332.5,852.5
365,847.5
352.5,880
311.25,892.5
312.5,886.25
392.5,878.75
433.75,871.25
472.5,867.5
513.75,867.5
620,855
640,817.5
661.25,787.5
635,755
656.25,721.25
671.25,688.75
641.25,661.25
652.5,625
623.75,601.25
640,570
550,860
596.25,823.75
617.5,790
596.25,757.5
612.5,725
628.75,695
598.75,665
613.75,637.5
586.25,603.75
605,572.5
615,538.75
657.5,540
658.75,503.75
665,467.5
675,432.5
650,398.75
668.75,363.75
641.25,332.5
660,300
635,271.25
655,237.5
632.5,200
648.75,156.25
621.25,117.5
608.75,81.25
603.75,67.5
562.5,82.5
523.75,88.75
113.75,842.5
96.25,175
266.25,100
543.75,123.75
586.25,113.75
606.25,158.75
565,162.5
591.25,276.25
610,237.5
567.5,242.5
537.5,217.5
551.25,195
592.5,195
582.5,220
681.25,62.5
687.5,86.25
226.25,112.5
252.5,142.5
188.75,121.25
215,152.5
235,180
213.75,220
238.75,252.5
265,285
283.75,318.75
322.5,318.75
353.75,318.75
396.25,311.25
432.5,313.75
467.5,320
506.25,316.25
540,315
573.75,311.25
617.5,301.25
132.5,415
148.75,377.5
195,372.5
208.75,402.5
195,436.25
158.75,442.5
98.75,422.5
112.5,380
125,451.25
111.25,481.25
247.5,493.75
268.75,522.5
292.5,561.25
336.25,555
350,517.5
371.25,486.25
336.25,456.25
297.5,456.25
260,458.75
222.5,462.5
233.75,433.75
223.75,635
197.5,670
198.75,705
227.5,736.25
266.25,728.75
303.75,722.5
316.25,693.75
292.5,665
278.75,601.25
355,785
365,748.75
402.5,742.5
443.75,737.5
468.75,768.75
453.75,806.25
447.5,836.25
405,843.75
377.5,815
340,822.5
478.75,837.5
460,700
431.25,675
406.25,643.75
423.75,615
460,613.75
498.75,603.75
527.5,636.25
555,666.25
572.5,637.5
542.5,603.75
543.75,697.5
501.25,702.5
486.25,737.5
420,706.25
337.5,722.5
328.75,751.25
376.25,716.25
388.75,680
350,690
492.5,802.5
515,831.25
556.25,832.5
573.75,790
552.5,762.5
508.75,766.25
528.75,732.5
570,727.5
583.75,695
531.25,798.75
252.5,766.25
290,753.75
316.25,785
302.5,823.75
265,831.25
227.5,836.25
